|Plats|Type de vins|Appellation
0|Caille farcie au raisin et au foie gras|Rouges charnus et épicés|Saint-émiton, Minervois, bergerac. buzet, côtes-du- marmandais, costières-de-nimes, Ventoux
1|Coquilles Saint-Jacques au foie gras|Blancs savoureux, de secs à tendres|Pessac-léognan, palette, alsace pinot gris, montlouis-sur-loire saint-joseph, coteaux-de-laubance
2|Feuilletes aux cèpes et au foie gras|Rouges charnus légèrement évolues|Saint-émilion, cahors, fitou, saint-joseph, vin-de-corse
3|Foie gras d’oie en terrine|Blancs moelleux et liquoreux|Alsace gewurztraminer, alsace pinot gris, vouvray, Saussignac, barsac, sauternes
4|Foie gras de canard mi-cuit|Blancs gras, de tendres à mœælleux|Coteaux-du-layon, Jurançon, pacherenc-du -vic-bilh, côtes-de-bergerac, cérons, sauternes
5|Foie gras et confiture de figues|Blancs moelleux|Monbazillac, jurançon, bonnezeaux, muscat-de-beaumes-de-venise, muscat-de-mireval
6|Foie gras et confiture d'oignons|Blancs moelleux|Gaillac doux, montlouis-sur-loire, coteaux-du- layon, cérons, muscat-du-cap-corse
7|Foie gras poêle aux raisins|Rouges charnus et épices|Corbières, languedoc, côtes-du - rhône-villages, lirac, rivesaltes tuilé
8|Foie gras truffé|Rouges racés au bouquet puissant|Pomerol, fronsac, madiran, hermitage, chétea rene du pape, palette
9|Foie gras poêlé|Rouges charnus|Corbières, madiran, buzet, malepère, limoux
10|Foie gras poêlé|Effervescents|Crémant-de-limoux
