|Plat|Type de vin|Appelation
0|Olives et tapenades|+ Rosés épicés . Rouges frais|. Rosés de Provence A
1|Petits farcis à la niçoise|. Rosés souples + Rosés épicés|rs A me Cassis
2|Poivrons marinés à l’huile d'olive|A épicés|Côtes-du-roussillon, IGP Duché d'Uzès
3|Rillettes de saumon|Blancs vifs et savoureux|Rd
4|Samoussas au bœuf|Rouges charnus et épicés|Corbières, vin-de-corse, vacqueyras
5|Taboulé|Roses frais et sävoureux|Lirac, côtes-du-rhône
6|Tapas au jambon sec|. Effervescents + Rouges tendres|cord er ; 7:
7|Tapas aux anchois|Blancs méridionaux|Ajaccio, collioure, corbières, rancio sec du Roussillon et de type rancio (IGP)
8|Tarama|Blancs fruites|Alsace riesling, côtes-de-provence, vin-de-corse
9|Tartare de légumes|Rosés chaleureux et aromatiques|Tavel, lirac, costières-de-nimes
10|Tortilla aux pommes de terre|Blancs secs et fruites|Languedoc, côtes-du-roussillon
