Pizza aux fruits de mer|+ Rosés épicés + Blancs expressifs|+ Tavel, costières-de-nîmes, languedoc + Côtes-du-rhône, costières-de-nimes
Pizza aux trois fromages|Blancs frais et fruités|[GP Coteaux du Libron, côtes-du-rhône, vin-de-corse, côtes-de-provence
Pizza margherita|. Rosés épicés . Blancs expressifs|. Tavel, costières-de-nimes, languedoc + Côtes-du-rhône, costières-de-nimes
Quiche lorraine|Blancs frais et aromatiques|Alsace riesling, côtes-de-toul
Quiche au saumon|Blancs expressifs et minéraux|Menetou-salon, quincy, pouilly-fumé
Quiche aux poireaux ou aux oignons|Blancs vifs et aromatiques|IGP Ardèche, alsace pinot blanc, alsace pinot gris, mâcon
Salade aux pommes et bleu|Blancs frais et fruités|Minervois, côtes-du-rhône
Salade de chèvre chaud|Blancs vifs et minéraux|Menetou-salon, sancerre
Salade de gésiers confits|Rouges fruités et épices|Fronton, IGP Côtes de Gascogne
Salade niçoise|Rosés méridionaux|Tous les rosés de Provence
Tarte aux légumes|Blancs fruités et seveux|Saumur, crozes-hermitage
Terrine de poisson|Blancs frais et fruités|Entre-deux-mers, muscadet
Vol-au-vent|Blancs gras et délicats|Meursault, limoux
